iter	Passed	Remaining
817	25185	5603
818	25224	5574
819	25253	5543
820	25273	5510
821	25305	5479
822	25335	5448
823	25350	5414
824	25382	5384
825	25417	5354
826	25439	5321
827	25461	5289
828	25488	5257
829	25526	5228
830	25552	5196
831	25587	5166
832	25621	5136
833	25652	5105
834	25682	5075
835	25716	5044
836	25739	5012
837	25770	4981
838	25802	4951
839	25835	4921
840	25868	4890
841	25903	4860
842	25932	4829
843	25949	4796
844	25973	4764
845	26006	4733
846	26035	4703
847	26064	4671
848	26099	4642
849	26131	4611
850	26164	4581
851	26193	4550
852	26210	4517
853	26233	4484
854	26256	4452
855	26289	4422
856	26317	4391
857	26349	4360
858	26376	4329
859	26406	4298
860	26423	4265
861	26457	4235
862	26481	4203
863	26513	4173
864	26532	4140
865	26565	4110
866	26603	4080
867	26638	4050
868	26668	4020
869	26704	3990
870	26727	3958
871	26761	3928
872	26791	3897
873	26820	3866
874	26853	3836
875	26886	3805
876	26923	3776
877	26956	3745
878	26990	3715
879	27024	3685
880	27049	3653
881	27084	3623
882	27113	3592
883	27142	3561
884	27175	3531
885	27202	3500
886	27237	3469
887	27264	3438
888	27294	3407
889	27328	3377
890	27360	3347
891	27387	3316
892	27425	3286
893	27441	3253
894	27470	3222
895	27499	3191
896	27528	3161
897	27560	3130
898	27593	3100
899	27612	3068
900	27638	3036
901	27664	3005
902	27701	2975
903	27724	2944
904	27759	2913
905	27784	2882
906	27816	2852
907	27832	2820
908	27861	2789
909	27889	2758
910	27906	2726
911	27935	2695
912	27965	2664
913	27994	2634
914	28020	2603
915	28046	2571
916	28075	2541
917	28106	2510
918	28134	2479
919	28167	2449
920	28197	2418
921	28231	2388
922	28254	2357
923	28287	2326
924	28310	2295
925	28334	2264
926	28372	2234
927	28405	2203
928	28429	2172
929	28461	2142
930	28485	2111
931	28521	2080
932	28541	2049
933	28571	2018
934	28588	1987
935	28619	1956
936	28653	1926
937	28688	1896
938	28717	1865
939	28750	1835
940	28779	1804
941	28809	1773
942	28839	1743
943	28869	1712
944	28900	1682
945	28931	1651
946	28959	1620
947	28987	1590
948	29023	1559
949	29052	1529
950	29082	1498
951	29109	1467
952	29134	1436
953	29169	1406
954	29193	1375
955	29218	1344
956	29244	1314
957	29272	1283
958	29292	1252
959	29325	1221
960	29352	1191
961	29387	1160
962	29422	1130
963	29444	1099
964	29474	1069
965	29507	1038
966	29539	1008
967	29571	977
968	29599	946
969	29627	916
970	29656	885
971	29687	855
972	29719	824
973	29743	793
974	29772	763
975	29805	732
976	29840	702
977	29867	671
978	29894	641
979	29911	610
980	29944	579
981	29974	549
982	30003	518
983	30039	488
984	30078	458
985	30109	427
986	30139	396
987	30158	366
988	30187	335
989	30207	305
990	30237	274
991	30267	244
992	30293	213
993	30320	183
994	30358	152
995	30392	122
996	30422	91
997	30452	61
998	30486	30
999	30512	0
